option_id,reported_cost,travel_minutes,carbon_kg,sla_risk_band
opt_00000,71.63,106,32.76,LOW
opt_00001,385.52,42,0.17,HIGH
opt_00002,364.74,141,33.57,MED
opt_00003,326.86,21,7.31,LOW
opt_00004,286.36,52,17.07,HIGH
opt_00005,465.39,173,25.38,HIGH
opt_00006,77.25,132,11.41,LOW
opt_00007,327.05,164,2.51,LOW
opt_00008,245.18,109,38.06,LOW
opt_00009,217.55,82,7.67,LOW
opt_00010,87.8,75,23.83,MED
opt_00011,430.4,10,15.46,MED
opt_00012,63.23,52,34.66,MED
opt_00013,78.28,98,23.36,HIGH
opt_00014,342.46,44,32.03,MED
opt_00015,73.31,42,29.38,HIGH
opt_00016,215.45,81,18.85,LOW
opt_00017,309.01,145,39.84,HIGH
opt_00018,428.9,127,20.23,LOW
opt_00019,12.67,15,17.81,HIGH
opt_00020,451.26,147,20.42,LOW
opt_00021,220.81,25,34.17,HIGH
opt_00022,474.34,132,33.27,HIGH
opt_00023,150.57,76,5.06,LOW
opt_00024,287.08,1,3.92,HIGH
opt_00025,351.35,51,8.33,HIGH
opt_00026,244.94,2,5.77,LOW
opt_00027,191.46,110,22.07,LOW
opt_00028,294.91,134,1.61,LOW
opt_00029,172.43,169,37.85,LOW
opt_00030,443.06,162,10.0,LOW
opt_00031,134.23,109,9.89,MED
opt_00032,92.47,127,4.37,LOW
opt_00033,201.25,66,25.11,LOW
opt_00034,150.98,11,33.79,MED
opt_00035,84.99,171,33.47,MED
opt_00036,336.67,108,37.04,LOW
opt_00037,285.51,102,14.37,MED
opt_00038,292.79,71,13.48,LOW
opt_00039,422.72,174,23.33,MED
opt_00040,341.67,170,9.27,HIGH
opt_00041,498.38,129,22.12,MED
opt_00042,250.55,166,32.54,MED
opt_00043,231.16,33,28.72,LOW
opt_00044,351.37,116,20.81,MED
opt_00045,468.56,136,3.32,HIGH
opt_00046,159.27,49,23.46,LOW
opt_00047,244.87,156,35.59,HIGH
opt_00048,157.36,40,28.17,MED
opt_00049,392.77,166,9.96,MED
opt_00050,136.3,77,2.44,LOW
opt_00051,199.99,180,8.13,MED
opt_00052,197.09,105,18.27,LOW
opt_00053,358.85,168,27.38,MED
opt_00054,324.65,166,4.28,LOW
opt_00055,2.67,145,5.18,LOW
opt_00056,11.02,113,27.2,LOW
opt_00057,361.73,86,8.37,HIGH
opt_00058,3.38,84,22.83,MED
opt_00059,53.72,33,28.87,HIGH
opt_00060,402.3,84,29.71,HIGH
opt_00061,457.25,131,0.44,HIGH
opt_00062,295.93,140,27.24,MED
opt_00063,299.28,102,29.72,LOW
opt_00064,4.27,93,23.02,LOW
opt_00065,248.47,106,9.18,MED
opt_00066,178.49,124,8.39,HIGH
opt_00067,389.64,63,14.15,MED
opt_00068,210.84,171,37.39,MED
opt_00069,148.22,11,20.26,LOW
opt_00070,455.65,26,30.81,MED
opt_00071,348.76,45,10.03,HIGH
opt_00072,237.0,56,9.19,LOW
opt_00073,258.9,122,22.14,MED
opt_00074,382.13,108,24.25,LOW
opt_00075,453.08,22,0.77,LOW
opt_00076,243.33,6,11.26,MED
opt_00077,457.51,121,9.43,LOW
opt_00078,216.19,43,33.21,LOW
opt_00079,250.44,152,37.09,HIGH
opt_00080,251.63,84,11.58,LOW
opt_00081,24.99,100,11.63,LOW
opt_00082,175.59,164,29.68,LOW
opt_00083,265.19,80,4.89,MED
opt_00084,74.06,120,2.56,LOW
opt_00085,84.21,86,20.23,LOW
opt_00086,292.82,43,35.75,MED
opt_00087,419.34,122,12.91,HIGH
opt_00088,371.9,12,36.39,MED
opt_00089,194.57,56,37.24,MED
opt_00090,474.01,100,21.31,MED
opt_00091,397.63,122,23.75,LOW
opt_00092,95.37,179,31.79,MED
opt_00093,129.99,110,35.86,MED
opt_00094,371.39,148,9.87,LOW
opt_00095,214.47,115,29.83,HIGH
opt_00096,439.57,133,6.94,HIGH
opt_00097,107.26,110,33.23,LOW
opt_00098,73.09,6,25.12,HIGH
opt_00099,472.61,180,3.01,LOW
opt_00100,150.08,155,34.06,HIGH
opt_00101,335.29,171,36.07,MED
opt_00102,207.27,157,8.29,MED
opt_00103,160.21,4,5.52,MED
opt_00104,247.69,1,16.32,HIGH
opt_00105,444.79,46,24.21,MED
opt_00106,328.11,4,19.08,LOW
opt_00107,425.26,34,23.86,HIGH
opt_00108,215.0,62,5.46,HIGH
opt_00109,5.44,67,19.55,LOW
opt_00110,427.95,74,14.29,MED
opt_00111,238.7,169,36.58,MED
opt_00112,25.15,10,27.02,HIGH
opt_00113,323.11,135,30.37,LOW
opt_00114,220.67,23,2.21,HIGH
opt_00115,154.37,178,6.14,LOW
opt_00116,109.79,52,28.85,LOW
opt_00117,260.12,179,12.33,MED
opt_00118,93.47,65,12.63,LOW
opt_00119,190.9,78,5.25,LOW
opt_00120,132.37,103,1.99,HIGH
opt_00121,458.42,67,27.39,LOW
opt_00122,464.28,12,32.05,LOW
opt_00123,96.4,131,26.09,LOW
opt_00124,183.85,141,4.25,MED
opt_00125,367.29,35,20.02,MED
opt_00126,409.56,1,29.4,LOW
opt_00127,281.07,128,38.33,LOW
opt_00128,232.01,91,33.38,HIGH
opt_00129,266.94,28,12.62,LOW
opt_00130,211.4,90,29.06,MED
opt_00131,318.61,132,10.98,MED
opt_00132,66.46,139,24.62,HIGH
opt_00133,207.82,146,4.4,LOW
opt_00134,320.43,45,17.84,HIGH
opt_00135,285.15,3,25.15,MED
opt_00136,204.58,154,4.43,LOW
opt_00137,270.59,157,1.87,LOW
opt_00138,14.32,58,22.66,MED
opt_00139,76.07,77,16.39,HIGH
opt_00140,196.85,47,28.53,HIGH
opt_00141,351.76,145,28.1,HIGH
opt_00142,379.04,155,38.31,LOW
opt_00143,134.99,33,26.18,LOW
opt_00144,302.31,13,36.34,MED
opt_00145,482.54,91,33.09,HIGH
opt_00146,259.94,107,9.18,LOW
opt_00147,422.22,121,35.56,LOW
opt_00148,233.25,89,16.91,LOW
opt_00149,187.21,76,10.07,LOW
opt_00150,330.73,78,31.31,HIGH
opt_00151,446.34,111,27.83,HIGH
opt_00152,323.61,6,33.11,LOW
opt_00153,376.48,88,35.39,HIGH
opt_00154,474.13,105,3.6,HIGH
opt_00155,346.81,70,34.56,MED
opt_00156,192.55,79,7.46,HIGH
opt_00157,164.51,131,34.83,MED
opt_00158,139.31,173,8.28,MED
opt_00159,186.86,120,11.81,MED
opt_00160,326.46,162,13.53,MED
opt_00161,476.92,24,6.84,MED
opt_00162,247.65,106,6.66,LOW
opt_00163,63.75,46,21.99,HIGH
opt_00164,476.84,46,4.79,MED
opt_00165,131.57,113,9.44,MED
opt_00166,448.64,109,4.67,MED
opt_00167,170.64,114,31.31,HIGH
opt_00168,139.98,95,17.05,LOW
opt_00169,471.27,13,32.54,HIGH
opt_00170,119.39,45,17.62,MED
opt_00171,272.48,94,18.23,HIGH
opt_00172,141.73,68,26.24,HIGH
opt_00173,451.77,108,13.84,LOW
opt_00174,290.08,162,8.51,LOW
opt_00175,417.49,139,33.44,LOW
opt_00176,63.78,42,16.0,HIGH
opt_00177,385.79,148,23.4,MED
opt_00178,106.49,29,6.66,HIGH
opt_00179,164.43,3,6.01,MED
opt_00180,318.66,67,16.75,HIGH
opt_00181,338.92,75,16.51,LOW
opt_00182,227.51,14,30.37,HIGH
opt_00183,398.82,179,29.75,HIGH
opt_00184,442.39,158,28.94,LOW
opt_00185,383.28,53,23.51,MED
opt_00186,371.69,39,39.91,LOW
opt_00187,207.21,43,28.06,LOW
opt_00188,284.66,112,2.75,HIGH
opt_00189,253.93,123,29.7,HIGH
opt_00190,340.71,15,23.61,LOW
opt_00191,150.7,65,26.85,LOW
opt_00192,129.79,52,6.09,MED
opt_00193,271.76,48,1.4,HIGH
opt_00194,218.88,109,38.1,HIGH
opt_00195,89.41,83,18.03,MED
opt_00196,58.06,151,14.26,HIGH
opt_00197,477.2,61,12.75,MED
opt_00198,66.48,33,11.06,LOW
opt_00199,16.19,39,29.6,LOW
opt_00200,259.88,28,7.33,MED
opt_00201,265.71,152,8.82,MED
opt_00202,10.17,160,1.06,HIGH
opt_00203,64.75,66,36.11,LOW
opt_00204,120.86,40,33.38,MED
opt_00205,336.42,120,26.84,HIGH
opt_00206,399.24,55,27.25,MED
opt_00207,357.29,36,2.77,LOW
opt_00208,419.97,70,26.3,HIGH
opt_00209,1.54,3,25.95,MED
opt_00210,285.33,112,32.73,LOW
opt_00211,377.28,147,6.25,HIGH
opt_00212,214.22,56,34.89,MED
opt_00213,326.94,151,32.13,HIGH
opt_00214,289.64,137,14.92,MED
opt_00215,156.71,98,14.66,MED
opt_00216,371.76,111,34.95,LOW
opt_00217,227.05,169,35.4,MED
opt_00218,3.67,73,15.6,HIGH
opt_00219,418.54,132,14.79,HIGH
opt_00220,255.87,52,26.22,MED
opt_00221,233.23,38,0.59,HIGH
opt_00222,181.16,15,6.43,MED
opt_00223,354.63,122,12.3,MED
opt_00224,225.62,148,25.04,MED
opt_00225,315.3,121,8.18,MED
opt_00226,379.24,18,8.64,MED
opt_00227,402.69,129,2.74,HIGH
opt_00228,224.91,40,29.14,HIGH
opt_00229,172.87,177,33.13,HIGH
opt_00230,380.12,143,37.45,LOW
opt_00231,499.67,29,21.39,HIGH
opt_00232,445.4,119,2.83,LOW
opt_00233,392.41,22,32.9,MED
opt_00234,407.61,76,20.72,HIGH
opt_00235,138.53,45,17.94,HIGH
opt_00236,39.96,151,27.96,LOW
opt_00237,352.98,93,25.76,HIGH
opt_00238,154.63,65,5.7,LOW
opt_00239,215.35,100,32.84,LOW
opt_00240,444.09,136,23.84,LOW
opt_00241,34.21,134,3.32,LOW
opt_00242,178.09,125,14.64,LOW
opt_00243,363.74,149,9.37,LOW
opt_00244,110.37,110,6.62,MED
opt_00245,457.57,150,22.12,LOW
opt_00246,272.13,160,8.7,LOW
opt_00247,217.45,16,35.54,HIGH
opt_00248,263.78,1,10.67,MED
opt_00249,334.41,125,2.04,LOW
opt_00250,349.06,28,29.18,LOW
opt_00251,346.98,100,32.23,LOW
opt_00252,229.42,4,1.42,MED
opt_00253,220.6,77,32.25,HIGH
opt_00254,344.72,132,18.36,HIGH
opt_00255,130.7,144,26.91,LOW
opt_00256,341.44,92,19.54,HIGH
opt_00257,124.22,93,33.03,HIGH
opt_00258,29.98,40,19.63,HIGH
opt_00259,406.5,38,17.18,HIGH
opt_00260,443.51,37,37.22,MED
opt_00261,68.61,145,19.19,MED
opt_00262,203.3,3,19.82,LOW
opt_00263,324.56,124,17.61,HIGH
opt_00264,372.67,46,11.29,HIGH
opt_00265,49.4,74,4.72,HIGH
opt_00266,281.27,106,13.82,HIGH
opt_00267,405.88,157,32.04,MED
opt_00268,462.04,108,35.14,LOW
opt_00269,470.61,77,22.17,HIGH
opt_00270,405.03,7,2.38,HIGH
opt_00271,359.55,117,10.42,MED
opt_00272,376.4,168,26.96,LOW
opt_00273,303.73,93,17.24,MED
opt_00274,471.13,89,14.72,MED
opt_00275,152.94,18,29.86,MED
opt_00276,97.63,109,30.63,MED
opt_00277,331.61,141,28.06,HIGH
opt_00278,70.75,101,9.02,MED
opt_00279,153.11,129,21.77,HIGH
opt_00280,254.38,60,37.53,MED
opt_00281,391.96,26,35.54,LOW
opt_00282,383.08,39,2.61,HIGH
opt_00283,309.68,93,33.76,MED
opt_00284,487.72,21,2.85,HIGH
opt_00285,276.8,22,30.08,HIGH
opt_00286,33.88,151,18.46,HIGH
opt_00287,436.76,130,6.41,MED
opt_00288,92.84,51,18.27,HIGH
opt_00289,277.25,149,17.33,MED
opt_00290,244.49,87,11.61,HIGH
opt_00291,226.59,109,20.05,MED
opt_00292,9.52,108,16.14,LOW
opt_00293,364.48,98,9.5,MED
opt_00294,134.46,77,12.38,HIGH
opt_00295,376.68,82,3.29,MED
opt_00296,366.77,106,24.44,HIGH
opt_00297,390.13,106,9.19,HIGH
opt_00298,326.6,164,21.19,LOW
opt_00299,466.94,156,36.44,LOW
opt_00300,154.86,131,25.21,MED
opt_00301,129.48,35,37.85,MED
opt_00302,21.34,144,20.36,HIGH
opt_00303,400.32,167,37.45,HIGH
opt_00304,456.16,168,11.7,MED
opt_00305,173.88,55,19.21,MED
opt_00306,175.54,106,32.01,LOW
opt_00307,162.14,118,26.39,MED
opt_00308,307.1,179,19.67,HIGH
opt_00309,34.13,134,29.25,MED
opt_00310,37.11,76,29.16,LOW
opt_00311,336.4,84,33.17,HIGH
opt_00312,353.6,88,9.99,MED
opt_00313,338.63,30,3.53,HIGH
opt_00314,389.29,50,24.22,HIGH
opt_00315,71.13,9,38.78,LOW
opt_00316,457.66,29,25.86,LOW
opt_00317,300.94,19,13.46,LOW
opt_00318,226.5,137,3.71,MED
opt_00319,290.53,80,2.3,LOW
opt_00320,168.98,44,36.79,LOW
opt_00321,499.01,97,9.8,LOW
opt_00322,475.35,85,9.16,HIGH
opt_00323,356.53,48,5.15,HIGH
opt_00324,28.73,85,18.81,MED
opt_00325,305.66,161,37.95,LOW
opt_00326,241.44,20,8.59,LOW
opt_00327,307.18,88,18.88,MED
opt_00328,312.6,123,35.68,LOW
opt_00329,349.85,97,0.93,HIGH
opt_00330,7.68,130,21.95,LOW
opt_00331,103.29,104,9.69,LOW
opt_00332,205.57,134,12.52,HIGH
opt_00333,466.44,101,2.12,HIGH
opt_00334,54.66,127,1.58,HIGH
opt_00335,16.3,171,17.05,HIGH
opt_00336,420.35,23,11.66,LOW
opt_00337,131.28,85,20.38,MED
opt_00338,383.75,114,8.66,HIGH
opt_00339,157.03,1,9.34,LOW
opt_00340,193.45,103,35.14,MED
opt_00341,275.82,73,28.98,MED
opt_00342,169.04,64,6.49,HIGH
opt_00343,234.85,42,24.48,LOW
opt_00344,79.65,148,2.86,LOW
opt_00345,386.66,13,19.72,MED
opt_00346,333.01,163,30.87,LOW
opt_00347,351.72,81,5.09,HIGH
opt_00348,296.11,42,6.04,MED
opt_00349,282.55,75,36.41,HIGH
opt_00350,497.95,105,12.5,HIGH
opt_00351,123.91,41,14.7,MED
opt_00352,331.88,131,31.47,MED
opt_00353,318.95,73,37.89,MED
opt_00354,143.48,76,14.47,LOW
opt_00355,407.49,137,7.27,MED
opt_00356,449.28,12,38.49,MED
opt_00357,76.85,67,5.35,LOW
opt_00358,12.38,60,2.6,LOW
opt_00359,294.31,87,7.78,HIGH
opt_00360,204.6,49,32.05,HIGH
opt_00361,128.29,100,24.22,MED
opt_00362,103.25,51,5.24,LOW
opt_00363,444.29,48,27.11,MED
opt_00364,192.24,84,18.32,LOW
opt_00365,429.28,145,2.53,MED
opt_00366,419.7,30,8.9,HIGH
opt_00367,397.28,101,12.78,LOW
opt_00368,381.96,178,5.88,MED
opt_00369,380.04,19,27.32,LOW
opt_00370,483.18,3,13.32,HIGH
opt_00371,235.3,61,36.32,LOW
opt_00372,372.3,156,37.39,MED
opt_00373,93.94,1,16.15,HIGH
opt_00374,76.98,103,10.18,MED
opt_00375,345.67,141,0.95,HIGH
opt_00376,77.12,116,3.36,MED
opt_00377,160.1,134,20.06,LOW
opt_00378,297.57,94,37.24,MED
opt_00379,105.62,60,28.82,MED
opt_00380,323.02,151,22.25,LOW
opt_00381,277.87,141,23.44,LOW
opt_00382,423.16,16,15.08,LOW
opt_00383,370.41,118,6.21,HIGH
opt_00384,404.67,121,21.55,LOW
opt_00385,443.07,142,0.29,MED
opt_00386,315.92,98,3.1,LOW
opt_00387,288.43,46,35.75,LOW
opt_00388,80.58,140,15.4,LOW
opt_00389,97.32,41,5.52,MED
opt_00390,264.26,114,22.09,MED
opt_00391,177.28,22,36.41,LOW
opt_00392,81.45,140,9.6,HIGH
opt_00393,172.35,115,32.25,MED
opt_00394,171.52,138,23.73,MED
opt_00395,358.64,122,8.19,HIGH
opt_00396,28.85,111,12.04,MED
opt_00397,309.44,62,31.02,MED
opt_00398,222.73,160,10.42,MED
opt_00399,187.5,46,24.76,LOW
opt_00400,53.74,126,24.41,HIGH
opt_00401,311.92,15,1.65,MED
opt_00402,240.43,84,17.58,MED
opt_00403,425.07,58,32.24,MED
opt_00404,192.85,60,28.82,HIGH
opt_00405,103.84,110,27.01,LOW
opt_00406,137.99,152,11.66,MED
opt_00407,185.73,173,38.01,MED
opt_00408,453.21,176,7.91,HIGH
opt_00409,222.14,13,38.63,HIGH
opt_00410,284.31,74,9.83,LOW
opt_00411,254.34,48,9.98,HIGH
opt_00412,88.44,176,13.59,MED
opt_00413,474.17,19,34.54,LOW
opt_00414,119.62,93,35.21,LOW
opt_00415,221.62,20,35.7,MED
opt_00416,486.3,128,23.92,LOW
opt_00417,248.24,68,39.3,MED
opt_00418,71.76,95,2.03,LOW
opt_00419,313.06,61,26.83,LOW
opt_00420,155.04,109,10.44,LOW
opt_00421,30.72,149,16.77,LOW
opt_00422,111.83,59,9.29,HIGH
opt_00423,478.49,122,22.58,LOW
opt_00424,432.9,78,25.82,MED
opt_00425,239.07,120,32.92,HIGH
opt_00426,222.75,24,31.48,MED
opt_00427,159.08,178,5.13,MED
opt_00428,28.13,72,23.03,HIGH
opt_00429,86.41,13,0.29,MED
opt_00430,311.31,144,17.87,HIGH
opt_00431,143.92,159,11.58,LOW
opt_00432,269.96,124,30.09,HIGH
opt_00433,108.2,75,25.48,HIGH
opt_00434,497.66,106,8.72,LOW
opt_00435,392.86,118,19.43,HIGH
opt_00436,438.14,10,36.27,MED
opt_00437,270.18,39,39.02,LOW
opt_00438,369.38,150,25.12,MED
opt_00439,455.35,49,20.56,LOW
opt_00440,353.24,151,10.53,LOW
opt_00441,207.65,84,3.49,LOW
opt_00442,33.1,10,39.0,LOW
opt_00443,350.85,8,10.9,MED
opt_00444,124.54,57,31.01,LOW
opt_00445,292.35,178,6.5,LOW
opt_00446,486.09,44,22.75,HIGH
opt_00447,467.62,46,18.48,LOW
opt_00448,100.74,107,19.46,LOW
opt_00449,151.15,89,9.02,MED
opt_00450,478.87,176,27.79,LOW
opt_00451,492.79,52,19.42,MED
opt_00452,49.81,132,6.73,MED
opt_00453,367.81,81,36.41,LOW
opt_00454,472.77,21,13.39,HIGH
opt_00455,352.29,108,10.49,HIGH
opt_00456,491.79,52,12.49,LOW
opt_00457,418.91,104,35.96,LOW
opt_00458,78.75,10,16.54,LOW
opt_00459,264.78,36,7.04,MED
opt_00460,304.64,107,14.44,LOW
opt_00461,470.78,111,31.12,HIGH
opt_00462,248.91,150,32.37,MED
opt_00463,100.07,12,22.24,HIGH
opt_00464,415.39,86,11.03,MED
opt_00465,76.27,121,5.72,HIGH
opt_00466,11.87,150,13.17,HIGH
