option_id,unit_id,dest_location_id,wave_id
opt_00000,239,234,3
opt_00001,237,244,5
opt_00002,43,41,3
opt_00003,40,64,4
opt_00004,107,151,6
opt_00005,286,279,1
opt_00006,89,102,3
opt_00007,168,192,6
opt_00008,293,285,4
opt_00009,10,39,6
opt_00010,172,186,3
opt_00011,261,261,4
opt_00012,223,2,0
opt_00013,98,99,2
opt_00014,224,235,2
opt_00015,131,132,2
opt_00016,152,162,4
opt_00017,15,30,5
opt_00018,282,276,1
opt_00019,216,37,6
opt_00020,41,57,2
opt_00021,237,244,5
opt_00022,87,88,1
opt_00023,1,14,3
opt_00024,49,75,6
opt_00025,161,187,5
opt_00026,218,14,3
opt_00027,90,102,3
opt_00028,53,54,3
opt_00029,83,109,6
opt_00030,280,292,5
opt_00031,155,174,2
opt_00032,11,8,1
opt_00033,215,211,4
opt_00034,21,34,0
opt_00035,117,123,1
opt_00036,46,44,1
opt_00037,122,144,3
opt_00038,123,148,4
opt_00039,137,129,1
opt_00040,175,197,5
opt_00041,163,195,0
opt_00042,279,273,0
opt_00043,150,160,5
opt_00044,9,27,4
opt_00045,131,132,2
opt_00046,210,216,3
opt_00047,223,4,0
opt_00048,114,140,3
opt_00049,87,88,1
opt_00050,166,186,3
opt_00051,122,142,3
opt_00052,37,56,2
opt_00053,201,1,1
opt_00054,211,223,2
opt_00055,140,158,5
opt_00056,81,98,3
opt_00057,15,38,5
opt_00058,174,189,5
opt_00059,9,24,4
opt_00060,52,72,1
opt_00061,136,152,3
opt_00062,151,175,3
opt_00063,129,132,2
opt_00064,259,251,3
opt_00065,92,116,6
opt_00066,46,43,1
opt_00067,144,164,1
opt_00068,8,35,3
opt_00069,28,59,5
opt_00070,115,141,3
opt_00071,59,76,6
opt_00072,141,135,2
opt_00073,199,17,6
opt_00074,69,89,2
opt_00075,238,239,3
opt_00076,289,279,1
opt_00077,229,228,3
opt_00078,200,203,1
opt_00079,25,59,5
opt_00080,1,28,3
opt_00081,135,134,2
opt_00082,230,243,6
opt_00083,148,169,2
opt_00084,15,33,5
opt_00085,11,7,1
opt_00086,103,104,2
opt_00087,79,93,2
opt_00088,209,29,5
opt_00089,90,102,3
opt_00090,290,291,6
opt_00091,100,114,5
opt_00092,7,28,3
opt_00093,55,65,2
opt_00094,33,53,2
opt_00095,126,128,1
opt_00096,147,169,2
opt_00097,276,276,1
opt_00098,225,228,3
opt_00099,79,92,2
opt_00100,1,14,3
opt_00101,259,257,3
opt_00102,77,108,5
opt_00103,2,33,5
opt_00104,80,94,2
opt_00105,168,198,6
opt_00106,12,18,2
opt_00107,84,85,1
opt_00108,108,121,0
opt_00109,236,229,3
opt_00110,66,103,5
opt_00111,96,95,1
opt_00112,5,19,2
opt_00113,240,238,2
opt_00114,219,2,0
opt_00115,257,252,1
opt_00116,191,219,5
opt_00117,61,77,5
opt_00118,242,231,1
opt_00119,21,4,0
opt_00120,262,259,3
opt_00121,81,102,3
opt_00122,60,69,3
opt_00123,266,265,6
opt_00124,271,253,1
opt_00125,106,127,2
opt_00126,133,158,5
opt_00127,166,180,3
opt_00128,137,130,1
opt_00129,176,172,1
opt_00130,24,40,0
opt_00131,66,83,5
opt_00132,45,45,3
opt_00133,166,186,3
opt_00134,23,32,0
opt_00135,15,38,5
opt_00136,155,173,2
opt_00137,131,132,2
opt_00138,15,33,5
opt_00139,126,128,1
opt_00140,76,107,5
opt_00141,178,194,0
opt_00142,98,99,2
opt_00143,168,193,6
opt_00144,6,27,4
opt_00145,144,163,1
opt_00146,260,261,4
opt_00147,154,175,3
opt_00148,106,126,2
opt_00149,167,186,3
opt_00150,172,186,3
opt_00151,154,168,3
opt_00152,246,233,1
opt_00153,282,278,1
opt_00154,15,38,5
opt_00155,2,30,5
opt_00156,129,133,2
opt_00157,76,105,5
opt_00158,3,35,3
opt_00159,200,207,1
opt_00160,21,4,0
opt_00161,10,37,6
opt_00162,72,100,3
opt_00163,167,191,3
opt_00164,193,213,2
opt_00165,108,121,0
opt_00166,53,47,3
opt_00167,170,166,1
opt_00168,39,51,0
opt_00169,223,2,0
opt_00170,206,11,5
opt_00171,295,295,5
opt_00172,233,240,4
opt_00173,291,289,4
opt_00174,202,0,1
opt_00175,142,156,0
opt_00176,43,41,3
opt_00177,294,295,5
opt_00178,201,207,1
opt_00179,171,181,1
opt_00180,97,88,1
opt_00181,6,27,4
opt_00182,220,4,0
opt_00183,181,185,2
opt_00184,142,157,0
opt_00185,19,31,2
opt_00186,232,236,2
opt_00187,160,166,1
opt_00188,24,51,0
opt_00189,121,125,1
opt_00190,168,198,6
opt_00191,290,291,6
opt_00192,6,24,4
opt_00193,272,284,3
opt_00194,65,84,3
opt_00195,54,63,0
opt_00196,43,41,3
opt_00197,211,12,2
opt_00198,214,30,5
opt_00199,97,95,1
opt_00200,123,138,4
opt_00201,149,163,1
opt_00202,270,260,3
opt_00203,264,258,2
opt_00204,223,4,0
opt_00205,197,214,2
opt_00206,224,235,2
opt_00207,60,54,3
opt_00208,172,191,3
opt_00209,40,49,4
opt_00210,75,105,5
opt_00211,179,197,5
opt_00212,259,251,3
opt_00213,12,19,2
opt_00214,216,220,6
opt_00215,155,171,2
opt_00216,38,41,3
opt_00217,209,21,5
opt_00218,113,151,6
opt_00219,56,70,2
opt_00220,13,37,6
opt_00221,71,86,1
opt_00222,211,12,2
opt_00223,171,172,1
opt_00224,247,245,5
opt_00225,0,9,3
opt_00226,278,288,3
opt_00227,141,136,2
opt_00228,67,112,4
opt_00229,166,180,3
opt_00230,166,179,3
opt_00231,244,241,2
opt_00232,119,149,5
opt_00233,84,85,1
